dataset;num_classes;arch;attack_type;pruning_rates;lr;;batch_size;wm_batch_size;num_epochs;patience;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.1;93.30929565;100;0.076917648
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.2;93.30929565;100;0.062835932
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.3;93.30929565;100;0.062755108
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.4;93.30929565;100;0.063877106
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.5;93.30929565;100;0.082644939
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.6;93.31931305;100;0.078702211
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.7;93.28926086;100;0.075645208
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.8;92.84855652;100;0.080278158
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.9;85.03605652;70;0.085155249
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;25;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_25;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.1;93.4495163;100;0.092549086
